pos 8: 2053, pos 9: 2052 || time: 0
pos 8: 2053, pos 9: 2052 || time: 0
pos 8: 2053, pos 9: 2052 || time: 0
pos 8: 2053, pos 9: 2052 || time: 0
pos 8: 2053, pos 9: 2052 || time: 0
pos 8: 2053, pos 9: 2052 || time: 0
pos 8: 2054, pos 9: 2052 || time: 0
pos 8: 2057, pos 9: 2052 || time: 0
pos 8: 2060, pos 9: 2053 || time: 0
pos 8: 2066, pos 9: 2056 || time: 0
pos 8: 2071, pos 9: 2061 || time: 0
pos 8: 2077, pos 9: 2067 || time: 0
pos 8: 2083, pos 9: 2073 || time: 0
pos 8: 2089, pos 9: 2080 || time: 0
pos 8: 2095, pos 9: 2085 || time: 0
pos 8: 2097, pos 9: 2088 || time: 0
pos 8: 2099, pos 9: 2090 || time: 0
pos 8: 2100, pos 9: 2092 || time: 0
pos 8: 2100, pos 9: 2092 || time: 0
pos 8: 2100, pos 9: 2092 || time: 0
pos 8: 2101, pos 9: 2092 || time: 0
pos 8: 2101, pos 9: 2092 || time: 0
pos 8: 2101, pos 9: 2092 || time: 0
pos 8: 2104, pos 9: 2094 || time: 0
pos 8: 2108, pos 9: 2098 || time: 0
pos 8: 2113, pos 9: 2103 || time: 0
pos 8: 2119, pos 9: 2109 || time: 1
pos 8: 2125, pos 9: 2115 || time: 1
pos 8: 2132, pos 9: 2122 || time: 1
pos 8: 2137, pos 9: 2129 || time: 1
pos 8: 2143, pos 9: 2135 || time: 1
pos 8: 2149, pos 9: 2141 || time: 1
pos 8: 2154, pos 9: 2147 || time: 1
pos 8: 2158, pos 9: 2152 || time: 1
pos 8: 2159, pos 9: 2154 || time: 1
pos 8: 2160, pos 9: 2155 || time: 1
pos 8: 2160, pos 9: 2155 || time: 1
pos 8: 2161, pos 9: 2155 || time: 1
pos 8: 2161, pos 9: 2155 || time: 1
pos 8: 2161, pos 9: 2155 || time: 1
pos 8: 2162, pos 9: 2155 || time: 1
pos 8: 2165, pos 9: 2156 || time: 1
pos 8: 2170, pos 9: 2158 || time: 1
pos 8: 2175, pos 9: 2161 || time: 1
