pos 8: 2054, pos 9: 2067 || time: 0
pos 8: 2054, pos 9: 2067 || time: 0
pos 8: 2054, pos 9: 2067 || time: 0
pos 8: 2056, pos 9: 2067 || time: 0
pos 8: 2060, pos 9: 2071 || time: 0
pos 8: 2065, pos 9: 2076 || time: 0
pos 8: 2071, pos 9: 2081 || time: 0
pos 8: 2077, pos 9: 2087 || time: 0
pos 8: 2083, pos 9: 2093 || time: 0
pos 8: 2089, pos 9: 2100 || time: 0
pos 8: 2096, pos 9: 2106 || time: 0
pos 8: 2101, pos 9: 2111 || time: 0
pos 8: 2108, pos 9: 2119 || time: 0
pos 8: 2112, pos 9: 2125 || time: 0
pos 8: 2115, pos 9: 2129 || time: 0
pos 8: 2117, pos 9: 2131 || time: 0
pos 8: 2117, pos 9: 2132 || time: 0
pos 8: 2118, pos 9: 2132 || time: 1
pos 8: 2118, pos 9: 2132 || time: 1
pos 8: 2119, pos 9: 2132 || time: 1
pos 8: 2119, pos 9: 2132 || time: 1
pos 8: 2119, pos 9: 2133 || time: 1
pos 8: 2119, pos 9: 2132 || time: 1
pos 8: 2119, pos 9: 2132 || time: 1
pos 8: 2119, pos 9: 2133 || time: 1
pos 8: 2122, pos 9: 2135 || time: 1
pos 8: 2126, pos 9: 2139 || time: 1
pos 8: 2134, pos 9: 2146 || time: 1
pos 8: 2137, pos 9: 2150 || time: 1
pos 8: 2143, pos 9: 2157 || time: 1
pos 8: 2149, pos 9: 2164 || time: 1
pos 8: 2155, pos 9: 2169 || time: 1
pos 8: 2161, pos 9: 2175 || time: 1
pos 8: 2166, pos 9: 2182 || time: 1
pos 8: 2172, pos 9: 2187 || time: 1
pos 8: 2177, pos 9: 2193 || time: 1
pos 8: 2180, pos 9: 2196 || time: 1
pos 8: 2182, pos 9: 2199 || time: 1
pos 8: 2183, pos 9: 2199 || time: 1
pos 8: 2183, pos 9: 2200 || time: 1
pos 8: 2184, pos 9: 2200 || time: 1
pos 8: 2184, pos 9: 2200 || time: 1
pos 8: 2184, pos 9: 2200 || time: 1
pos 8: 2184, pos 9: 2200 || time: 2
pos 8: 2184, pos 9: 2200 || time: 2
pos 8: 2185, pos 9: 2200 || time: 2
pos 8: 2188, pos 9: 2200 || time: 2
pos 8: 2192, pos 9: 2199 || time: 2
pos 8: 2197, pos 9: 2199 || time: 2
